PCIS Permit #,Permit Sub-Type,Issue Date,Valuation
14010-70000-01125,1 or 2 Family Dwelling,4/29/2014,"$22,000.00 "
14014-20000-02030,1 or 2 Family Dwelling,8/20/2014,"$150,000.00 "
12014-20000-03299,1 or 2 Family Dwelling,5/1/2013,"$113,000.00 "
15014-20000-03020,1 or 2 Family Dwelling,9/16/2015,"$40,000.00 "
14014-10000-01190,1 or 2 Family Dwelling,3/27/2014,"$4,000.00 "
12014-70000-04391,Commercial,12/3/2013,"$1,530.00 "
15014-20000-02861,1 or 2 Family Dwelling,7/2/2015,"$22,000.00 "
13014-70000-04453,1 or 2 Family Dwelling,11/26/2013,"$6,963.00 "
14010-10000-03998,1 or 2 Family Dwelling,5/20/2015,"$86,240.00 "
15014-30000-03628,1 or 2 Family Dwelling,9/16/2015,"$65,000.00 "
14014-20000-03823,1 or 2 Family Dwelling,4/15/2015,"$650,000.00 "
14014-20002-03903,1 or 2 Family Dwelling,1/16/2015,"$12,375.00 "
16014-20000-01344,1 or 2 Family Dwelling,3/25/2016,"$40,000.00 "
13014-20000-02844,1 or 2 Family Dwelling,8/7/2013,"$12,000.00 "
13014-20000-00624,1 or 2 Family Dwelling,2/20/2013,"$40,000.00 "
14010-10000-03615,Commercial,2/4/2015,"$54,014,373.00 "
13010-10000-02488,1 or 2 Family Dwelling,7/11/2014,"$940,000.00 "
14014-20000-02719,1 or 2 Family Dwelling,6/24/2014,"$20,000.00 "
14014-20000-02819,1 or 2 Family Dwelling,6/27/2014,"$50,000.00 "
15010-20000-01618,1 or 2 Family Dwelling,8/18/2015,"$450,000.00 "
13010-10000-00798,1 or 2 Family Dwelling,6/12/2013,"$40,000.00 "
14014-30000-01632,1 or 2 Family Dwelling,8/11/2014,"$400,000.00 "
14010-20000-00649,1 or 2 Family Dwelling,3/1/2016,"$177,363.00 "
15010-10000-02346,Commercial,2/29/2016,"$750,000.00 "
12014-20000-04514,1 or 2 Family Dwelling,1/14/2013,"$90,000.00 "
14014-20000-03717,1 or 2 Family Dwelling,8/27/2015,"$350,000.00 "
13014-20000-03243,1 or 2 Family Dwelling,11/12/2013,"$405,000.00 "
15010-30000-01317,1 or 2 Family Dwelling,6/30/2015,"$600,000.00 "
14014-20000-04634,1 or 2 Family Dwelling,10/27/2014,"$24,500.00 "
11010-30005-02522,1 or 2 Family Dwelling,1/16/2014,"$10,000.00 "
13014-10000-01139,1 or 2 Family Dwelling,5/10/2013,"$28,500.00 "
13010-10000-03230,1 or 2 Family Dwelling,5/6/2014,"$457,015.00 "
15014-30000-04115,1 or 2 Family Dwelling,10/5/2015,"$50,000.00 "
13014-30000-04116,1 or 2 Family Dwelling,5/12/2014,"$200,000.00 "
15010-10000-00004,1 or 2 Family Dwelling,4/21/2016,"$450,000.00 "
15010-10000-01737,Apartment,12/9/2015,"$1,273,000.00 "
16010-30000-00307,1 or 2 Family Dwelling,1/29/2016,"$7,000.00 "
13010-10000-01732,1 or 2 Family Dwelling,11/13/2014,"$10,000.00 "
15014-20000-05487,1 or 2 Family Dwelling,3/9/2016,"$35,000.00 "
14014-10000-01737,1 or 2 Family Dwelling,10/29/2014,"$106,500.00 "
15014-20000-04515,1 or 2 Family Dwelling,12/22/2015,"$80,000.00 "
13014-20000-04652,1 or 2 Family Dwelling,12/23/2013,"$330,000.00 "
15014-30000-01791,1 or 2 Family Dwelling,11/10/2015,"$100,000.00 "
12014-70000-02991,1 or 2 Family Dwelling,2/21/2014,"$14,960.00 "
14014-20000-05332,1 or 2 Family Dwelling,3/4/2015,"$100,000.00 "
15014-20000-01175,1 or 2 Family Dwelling,7/24/2015,"$5,000.00 "
14014-20000-03863,1 or 2 Family Dwelling,1/13/2015,"$50,100.00 "
14010-20000-02719,1 or 2 Family Dwelling,4/1/2015,"$20,000.00 "
14010-30000-02199,1 or 2 Family Dwelling,9/10/2015,"$377,000.00 "
15014-20000-00592,1 or 2 Family Dwelling,2/13/2015,"$43,200.00 "
15014-10000-03085,1 or 2 Family Dwelling,8/5/2015,"$23,000.00 "
