PCIS Permit #,Permit Sub-Type,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
15014-10000-03675,1 or 2 Family Dwelling,2/11/2016,"$100,000.00 ",448,,2,RA-1,448,11,"(34.06133, -118.47877)"
15014-10000-05340,1 or 2 Family Dwelling,11/30/2015,"$87,000.00 ",659,0,1,R1-1,691,5,"(34.15655, -118.4718)"
15010-20001-00070,1 or 2 Family Dwelling,7/21/2015,"$279,402.00 ",2405,,3,R1-1,2405,11,"(34.04829, -118.4693)"
14014-10000-02355,Apartment,8/14/2014,"$3,000.00 ",0,,0,A1-1,22,14,"(34.05859, -118.19469)"
15014-20000-03196,1 or 2 Family Dwelling,1/21/2016,"$150,000.00 ",2643,0,2,RS-1,1368,3,"(34.22738, -118.60402)"
15014-10000-02478,Apartment,9/22/2015,"$2,400.00 ",0,,0,RD1.5-1XL,21.3,15,"(33.7434, -118.28061)"
16010-20000-01149,1 or 2 Family Dwelling,3/23/2016,"$6,500.00 ",0,,1,R1-1,400,3,"(34.20778, -118.51982)"
14014-20000-01136,Commercial,7/24/2014,"$15,000.00 ",169,,1,M1-1,0,6,"(34.22367, -118.38757)"
13014-10000-01977,1 or 2 Family Dwelling,5/20/2014,"$115,000.00 ",1049,,2,R1-1,1049,4,"(34.10708, -118.36739)"
15014-30000-05235,1 or 2 Family Dwelling,2/11/2016,"$106,000.00 ",2866,0,0,R1-1,518,5,"(34.0357, -118.41013)"
12014-10000-01897,1 or 2 Family Dwelling,1/29/2015,"$150,000.00 ",976,,2,RE40-1-H,1357,11,"(34.08042, -118.47769)"
14010-10000-04032,1 or 2 Family Dwelling,8/27/2015,"$190,000.00 ",1609,1,3,R3-1-O,1720,10,"(34.05257, -118.35215)"
13014-10000-03787,Apartment,3/3/2015,"$129,888.00 ",2976,2,2,RD1.5-1,1488,15,"(33.82029, -118.30695)"
15014-20000-03938,1 or 2 Family Dwelling,8/28/2015,"$5,500.00 ",2229,0,1,R1-1,306,3,"(34.15684, -118.52809)"
15014-20001-02488,1 or 2 Family Dwelling,12/11/2015,"$60,000.00 ",287,,1,R1-1,287,2,"(34.17758, -118.40636)"
14010-20000-03585,1 or 2 Family Dwelling,12/16/2015,"$500,000.00 ",2422,1,2,R1-1,2794,7,"(34.25318, -118.31686)"
14014-20000-01272,1 or 2 Family Dwelling,4/3/2014,"$35,000.00 ",307,,1,R1-1-RFA,307,2,"(34.15366, -118.38021)"
13014-10000-03522,Commercial,2/6/2014,"$425,000.00 ",5058,,2,C2-1,5058,5,"(34.03155, -118.40025)"
13014-10000-03725,1 or 2 Family Dwelling,1/6/2015,"$85,000.00 ",1815,-1,1,R2-1,177,11,"(33.99375, -118.46086)"
15010-20000-02525,1 or 2 Family Dwelling,11/12/2015,"$428,000.00 ",2776,1,2,R1-1,3137,11,"(34.01802, -118.42948)"
14010-10000-03540,1 or 2 Family Dwelling,6/12/2015,"$31,735.00 ",0,,1,R1-1VLD,577,11,"(34.0039, -118.45292)"
15014-30000-01897,1 or 2 Family Dwelling,6/5/2015,"$4,000.00 ",0,,0,R1-1,0,14,"(34.0904, -118.17223)"
14014-10000-04013,1 or 2 Family Dwelling,12/3/2014,"$120,000.00 ",1083,0,1,R2-1VL,270,13,"(34.09407, -118.24885)"
13014-20000-01547,1 or 2 Family Dwelling,6/14/2013,"$20,000.00 ",47,,0,R1-1,47,5,"(34.06391, -118.43603)"
14014-30000-05650,1 or 2 Family Dwelling,5/7/2015,"$10,000.00 ",182,,0,[Q]R1-1D,459,14,"(34.09378, -118.17989)"
14014-20000-01901,1 or 2 Family Dwelling,6/18/2014,"$16,200.00 ",1572,,1,R1-1-O,159,6,"(34.25788, -118.43868)"
15016-30000-03219,1 or 2 Family Dwelling,2/25/2015,"$75,000.00 ",27,0,0,RS-1,360,3,"(34.17303, -118.58087)"
13014-20000-00792,1 or 2 Family Dwelling,4/10/2013,"$14,000.00 ",265,,1,R1-1,265,6,"(34.20258, -118.49772)"
15014-20000-03411,1 or 2 Family Dwelling,9/11/2015,"$10,000.00 ",52,0,2,RE11-1,52,12,"(34.28818, -118.50923)"
14014-40000-05515,1 or 2 Family Dwelling,7/6/2015,"$35,552.00 ",736,1,1,[Q]RD1.5-1XL-O,352,15,"(33.78393, -118.2639)"
14010-20000-03891,1 or 2 Family Dwelling,4/28/2015,"$241,000.00 ",2089,1,3,R3-1,2582,4,"(34.07908, -118.31588)"
15014-10000-02804,1 or 2 Family Dwelling,2/5/2016,"$400,000.00 ",3197,,3,RD1.5-1,2242,11,"(33.99324, -118.46913)"
15016-10000-10614,1 or 2 Family Dwelling,6/24/2015,"$18,584.00 ",1361,0,1,R1-1-RIO,0,13,"(34.11194, -118.25748)"
15014-30000-04950,1 or 2 Family Dwelling,12/18/2015,"$400,000.00 ",3806,0,3,R1-1,2355,11,"(34.04519, -118.54422)"
13016-10003-16108,Commercial,4/6/2016,"$900,000.00 ",1260110,,5,C2-1L-O,47490,5,"(34.05949, -118.42045)"
14010-20000-02446,1 or 2 Family Dwelling,11/30/2015,"$210,000.00 ",1644,1,2,(T)(Q)RD3-1,2018,2,"(34.20861, -118.39762)"
13014-20000-02816,1 or 2 Family Dwelling,7/18/2013,"$25,000.00 ",146,0,0,R1-1,146,2,"(34.18542, -118.42996)"
15014-20000-04726,1 or 2 Family Dwelling,10/14/2015,"$5,500.00 ",264,,0,R1-1,264,4,"(34.08413, -118.3343)"
15014-20000-02951,1 or 2 Family Dwelling,7/22/2015,"$67,200.00 ",1720,,0,R1-1-RFA,665,7,"(34.26069, -118.31671)"
14014-20001-01189,1 or 2 Family Dwelling,6/1/2015,"$50,000.00 ",3468,,2,R2-1XL,172,4,"(34.10676, -118.29051)"
14010-20000-01309,1 or 2 Family Dwelling,10/16/2014,"$1,033,000.00 ",8644,1,2,(T)(Q)RE40-1-O-K,9526,12,
